,HIP,jitter,amplitude
0,HIP10175,6.732323804624096,30.048291359205905
1,HIP101905,8.777181838307389,35.51997878700058
2,HIP102040,5.107102120092179,24.766507322296093
3,HIP102152,2.782216757805719,12.533605053999054
4,HIP10303,2.923221743040547,14.508225755149397
5,HIP103983,394.5240609455369,798.8174055803102
6,HIP104045,5.680769618814563,20.03933763399982
7,HIP105184,8.042640228402515,44.64450085514363
8,HIP108158,5.812533532845442,30.169617796619605
9,HIP108468,2.9053832945017533,13.10370770003101
10,HIP109110,38.06275623613254,283.0048405310208
11,HIP109821,2.4466047311746255,21.105302878040675
12,HIP114328,1.9719178057975406,7.352640839784726
13,HIP114615,5.831229166477729,20.65974742790081
14,HIP115577,2.1653005549618447,13.85362468132007
15,HIP116906,18.665110040921785,88.04877558609951
16,HIP117367,2.9638865836839243,13.111781992100077
17,HIP118115,2.657483049486953,13.967344546996173
18,HIP11915,9.062367629011185,32.399999999999636
19,HIP14501,3.040698593203387,22.02183448876076
20,HIP14614,7.683840082442179,44.933321498698206
21,HIP15527,21.845658694447717,107.6839105297986
22,HIP18844,214.45742008028867,559.1757976877998
23,HIP1954,3.3555311459532327,17.941341437890514
24,HIP19911,64.22623725694605,1480.3551420039985
25,HIP22263,12.441090971976424,59.641538392399525
26,HIP25670,4.784904295319666,23.99301824216127
27,HIP28066,4.17544440096133,17.179215810554012
28,HIP29432,4.1330103094891,19.453743764999672
29,HIP29525,13.850745680747197,56.05665771911845
30,HIP30037,2931.6047807617415,10085.375075269912
31,HIP30158,3.5652922405481666,14.230130227806512
32,HIP30476,3.0399934627774012,13.432024256093428
33,HIP30502,4.426494885193592,19.572617188096046
34,HIP3203,23.301393105457574,101.66186701858715
35,HIP33094,2.4929512919399244,13.993208819199936
36,HIP34511,3.51249658005525,16.76531827369763
37,HIP36512,4.7108994162460425,29.150262695282436
38,HIP36515,18.140343862819215,79.50196575762311
39,HIP38072,12.342030785257585,45.96378057987022
40,HIP40133,3.8941866370712757,14.560099610029283
41,HIP41317,4.487628578495086,24.33208761032438
42,HIP42333,16.335865451894616,60.355577129397716
43,HIP43297,26.898103143765223,141.50215231219954
44,HIP44713,4.481495790005929,22.917648798298615
45,HIP44935,4.435857180007071,17.04438839678187
46,HIP44997,4.016544570766493,16.93295316575677
47,HIP4909,16.22521703984299,75.78978418642009
48,HIP49756,3.8798625869297934,16.242032390196982
49,HIP5301,19.43582291039251,58.55080673949851
50,HIP54102,49.670695401961254,266.0952466679337
51,HIP54287,3.4240945509909095,16.451277734908217
52,HIP54582,8.184688431181023,43.03924149769773
53,HIP55409,1.7046006662974684,2.498375954130097
54,HIP62039,6.424568692173003,23.02094342730561
55,HIP6407,2.8377093779926925,862.8286723986002
56,HIP64150,36.003728651596354,164.36738027790125
57,HIP64673,5.052773032629515,22.418839745994774
58,HIP64713,5.345992847229014,22.751663788301812
59,HIP65708,4104.375375737091,9929.87704576457
60,HIP67620,32.946621861020425,2412.6957646768196
61,HIP68468,4.021439530784202,19.83420961127922
62,HIP69645,3.982578367215289,16.846623201049624
63,HIP72043,11.008491918132291,40.965550724319655
64,HIP73241,7.982178831870898,434.9172397809016
65,HIP73815,4.72966509554183,17.590585008470043
66,HIP74389,3.8528352833891915,16.207534237959408
67,HIP74432,7.48144147991067,47.91741787712817
68,HIP7585,6.578172414799244,33.190447526845674
69,HIP76114,10.238120903765774,38.11347428910085
70,HIP77052,6.818846642212863,28.446621965500526
71,HIP77883,4.043529501011512,16.744292545103235
72,HIP79578,238.6483976490544,853.5436519775976
73,HIP79672,2.4637081804988084,29.963154424898676
74,HIP79715,5.473811596220148,36.53460239249944
75,HIP81746,86.26365859567771,267.78255059110234
76,HIP83276,15.329044430501861,8119.042814512999
77,HIP85042,4.1368814718849,20.235801569651812
78,HIP8507,3.437403513211328,15.797572098350429
79,HIP87769,54.32292070443496,274.55675814197093
80,HIP89650,3.7712518653938623,17.113774408398967
81,HIP9349,14.7752015800184,76.52009308680135
82,HIP95962,4.3367938443782155,26.70649238830083
